chunk_size,policy,feature,n_human_chunks,mean_G,median_G,chi2_df,overdispersion,nominal_5pct_rejection_rate
1000,pooled_all_books,f1,1003,52.264660574822116,33.673592067096465,9,5.8071845083135685,0.7666999002991027
1000,pooled_all_books,f3,1003,100.07687695812095,84.90150624842623,90,1.1119652995346772,0.27218344965104685
1000,leave_one_book_out,f1,1003,77.16577210248299,45.03200896199131,9,8.573974678053666,0.8654037886340977
1000,leave_one_book_out,f3,1003,136.0663090276632,108.02631582550067,90,1.5118478780851468,0.4646061814556331
2000,pooled_all_books,f1,485,71.8323471008479,44.485048880256045,9,7.981371900094211,0.8474226804123711
2000,pooled_all_books,f3,485,130.73824137012488,107.02465218426403,90,1.452647126334721,0.44948453608247424
2000,leave_one_book_out,f1,485,120.66616773777332,68.07739182967535,9,13.407351970863703,0.9525773195876288
2000,leave_one_book_out,f3,485,201.62270017216642,151.76696307464994,90,2.2402522241351823,0.711340206185567
4000,pooled_all_books,f1,225,107.27977692102382,58.95997054480319,9,11.919975213447092,0.9333333333333333
4000,pooled_all_books,f3,225,182.4748956937237,139.1654489461731,90,2.0274988410413743,0.6533333333333333
4000,leave_one_book_out,f1,225,201.4186848211237,106.04829098688151,9,22.379853869013743,0.9822222222222222
4000,leave_one_book_out,f3,225,319.9732578450142,227.48035709166572,90,3.5552584205001576,0.92
