source_type,condition,feature,chunk_size,start_mark,author,cohort,sample_id,prompt_source_book,run_id,predicted_author,correct
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_01.txt,full_books/jane_austen_full.txt,1,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_02.txt,full_books/jane_austen_full.txt,2,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_03.txt,gutenberg_texts/161.txt,3,oscar_wilde,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_04.txt,full_books/jane_austen_full.txt,4,mary_shelley,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_05.txt,full_books/jane_austen_full.txt,5,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_06.txt,gutenberg_texts/161.txt,6,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_07.txt,full_books/jane_austen_full.txt,7,mary_shelley,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_08.txt,full_books/jane_austen_full.txt,8,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_09.txt,gutenberg_texts/161.txt,9,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_10.txt,full_books/jane_austen_full.txt,10,oscar_wilde,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_11.txt,full_books/jane_austen_full.txt,11,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_12.txt,gutenberg_texts/161.txt,12,oscar_wilde,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_13.txt,full_books/jane_austen_full.txt,13,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_14.txt,full_books/jane_austen_full.txt,14,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_15.txt,gutenberg_texts/161.txt,15,kathleen_thompson_norris,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_16.txt,full_books/jane_austen_full.txt,16,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_17.txt,full_books/jane_austen_full.txt,17,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_18.txt,gutenberg_texts/161.txt,18,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_19.txt,full_books/jane_austen_full.txt,19,charles_dickens,0
llm,flash,f3,2000,0,jane_austen,existing,generated_texts_positional_mechanism_v1/flash_c2/jane_austen/run_20.txt,full_books/jane_austen_full.txt,20,charles_dickens,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_01.txt,full_books/herbert_george_wells_full.txt,1,charles_dickens,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_02.txt,gutenberg_texts/35.txt,2,mary_shelley,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_03.txt,full_books/herbert_george_wells_full.txt,3,charles_dickens,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_04.txt,gutenberg_texts/35.txt,4,mary_shelley,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_05.txt,full_books/herbert_george_wells_full.txt,5,oscar_wilde,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_06.txt,gutenberg_texts/35.txt,6,mary_shelley,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_07.txt,full_books/herbert_george_wells_full.txt,7,arthur_conan_doyle,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_08.txt,gutenberg_texts/35.txt,8,mary_shelley,0
llm,flash,f3,2000,0,herbert_george_wells,existing,generated_texts_positional_mechanism_v1/flash_c2/herbert_george_wells/run_09.txt,full_books/herbert_george_wells_full.txt,9,oscar_wilde,0
