experiment,author_set,condition,policy,unit,chunk_size,feature,author,n,correct,accuracy_pct,chance_pct,binomial_p_greater_than_chance,most_predicted,skipped
human_attribution,all_authors,,leave_one_book_out,document,,f1,ALL,22,10,45.45454545454545,10.0,2.072311815879747e-05,arthur_conan_doyle:4; charles_dickens:3; agnes_may_fleming:3,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,jane_austen,2,2,100.0,10.0,0.010000000000000002,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,herbert_george_wells,2,0,0.0,10.0,1.0,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,agnes_may_fleming,2,0,0.0,10.0,1.0,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,charles_dickens,3,2,66.66666666666667,10.0,0.028000000000000008,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,mark_twain,2,0,0.0,10.0,1.0,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,arthur_conan_doyle,3,3,100.0,10.0,0.0010000000000000002,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,mary_shelley,2,2,100.0,10.0,0.010000000000000002,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,charlotte_bronte,2,0,0.0,10.0,1.0,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,oscar_wilde,2,0,0.0,10.0,1.0,,0
human_attribution,all_authors,,leave_one_book_out,document,,f1,joseph_conrad,2,1,50.0,10.0,0.19000000000000003,,0
human_attribution,all_authors,,leave_one_book_out,chunk,1000,f1,ALL,410,154,37.5609756097561,10.0,6.867548444362849e-50,charles_dickens:87; mark_twain:70; jane_austen:56,0
human_attribution,all_authors,,leave_one_book_out,chunk,1000,f1,jane_austen,44,28,63.63636363636363,10.0,8.222857001830568e-18,,0
human_attribution,all_authors,,leave_one_book_out,chunk,1000,f1,herbert_george_wells,14,1,7.142857142857143,10.0,0.7712320754503901,,0
human_attribution,all_authors,,leave_one_book_out,chunk,1000,f1,agnes_may_fleming,49,2,4.081632653061225,10.0,0.9630964244414115,,0
human_attribution,all_authors,,leave_one_book_out,chunk,1000,f1,charles_dickens,69,54,78.26086956521739,10.0,1.203527026975137e-40,,0
human_attribution,all_authors,,leave_one_book_out,chunk,1000,f1,mark_twain,32,4,12.5,10.0,0.39969409753596663,,0
human_attribution,all_authors,,leave_one_book_out,chunk,1000,f1,arthur_conan_doyle,36,27,75.0,10.0,3.781662847093204e-20,,0
human_attribution,all_authors,,leave_one_book_out,chunk,1000,f1,mary_shelley,37,31,83.78378378378379,10.0,1.261663855552002e-25,,0
