condition,feature,llm_copying,compare_target,n_runs,own_mean_kl,target_mean_kl,own_smaller_mean,own_smaller_runs,own_smaller_runs_pct
v1_flash,f1,jane_austen,william_shakespeare,10,0.119920,0.097947,False,3,0.300000
v1_flash,f1,jane_austen,herbert_george_wells,10,0.119920,0.182569,True,10,1.000000
v1_flash,f1,jane_austen,agnes_may_fleming,10,0.119920,0.138946,True,8,0.800000
v1_flash,f3,jane_austen,william_shakespeare,10,0.262688,0.283648,True,7,0.700000
v1_flash,f3,jane_austen,herbert_george_wells,10,0.262688,0.390206,True,10,1.000000
v1_flash,f3,jane_austen,agnes_may_fleming,10,0.262688,0.284996,True,6,0.600000
v1_flash,f1,william_shakespeare,jane_austen,10,0.094016,0.290239,True,10,1.000000
v1_flash,f1,william_shakespeare,herbert_george_wells,10,0.094016,0.435703,True,10,1.000000
v1_flash,f1,william_shakespeare,agnes_may_fleming,10,0.094016,0.336514,True,10,1.000000
v1_flash,f3,william_shakespeare,jane_austen,10,0.201035,0.562389,True,10,1.000000
v1_flash,f3,william_shakespeare,herbert_george_wells,10,0.201035,0.856798,True,10,1.000000
v1_flash,f3,william_shakespeare,agnes_may_fleming,10,0.201035,0.680766,True,9,0.900000
v1_flash,f1,herbert_george_wells,jane_austen,10,0.138930,0.118018,False,4,0.400000
v1_flash,f1,herbert_george_wells,william_shakespeare,10,0.138930,0.075582,False,0,0.000000
v1_flash,f1,herbert_george_wells,agnes_may_fleming,10,0.138930,0.162974,True,7,0.700000
v1_flash,f3,herbert_george_wells,jane_austen,10,0.282576,0.220515,False,3,0.300000
v1_flash,f3,herbert_george_wells,william_shakespeare,10,0.282576,0.220309,False,3,0.300000
v1_flash,f3,herbert_george_wells,agnes_may_fleming,10,0.282576,0.349087,True,6,0.600000
v1_flash,f1,agnes_may_fleming,jane_austen,10,0.147197,0.137491,False,3,0.300000
v1_flash,f1,agnes_may_fleming,william_shakespeare,10,0.147197,0.119416,False,1,0.100000
v1_flash,f1,agnes_may_fleming,herbert_george_wells,10,0.147197,0.219603,True,10,1.000000
v1_flash,f3,agnes_may_fleming,jane_austen,10,0.279299,0.282316,True,5,0.500000
v1_flash,f3,agnes_may_fleming,william_shakespeare,10,0.279299,0.309677,True,6,0.600000
v1_flash,f3,agnes_may_fleming,herbert_george_wells,10,0.279299,0.443531,True,10,1.000000
v1_pro,f1,jane_austen,william_shakespeare,10,0.086889,0.059275,False,0,0.000000
v1_pro,f1,jane_austen,herbert_george_wells,10,0.086889,0.099291,True,7,0.700000
v1_pro,f1,jane_austen,agnes_may_fleming,10,0.086889,0.177878,True,10,1.000000
v1_pro,f3,jane_austen,william_shakespeare,10,0.193450,0.192627,False,6,0.600000
v1_pro,f3,jane_austen,herbert_george_wells,10,0.193450,0.222198,True,8,0.800000
v1_pro,f3,jane_austen,agnes_may_fleming,10,0.193450,0.459037,True,10,1.000000
v1_pro,f1,william_shakespeare,jane_austen,10,0.092073,0.241894,True,10,1.000000
v1_pro,f1,william_shakespeare,herbert_george_wells,10,0.092073,0.154210,True,4,0.400000
v1_pro,f1,william_shakespeare,agnes_may_fleming,10,0.092073,0.448350,True,10,1.000000
v1_pro,f3,william_shakespeare,jane_austen,10,0.182012,0.479584,True,10,1.000000
v1_pro,f3,william_shakespeare,herbert_george_wells,10,0.182012,0.329813,True,7,0.700000
v1_pro,f3,william_shakespeare,agnes_may_fleming,10,0.182012,1.398000,True,10,1.000000
v1_pro,f1,herbert_george_wells,jane_austen,10,0.098457,0.127100,True,8,0.800000
v1_pro,f1,herbert_george_wells,william_shakespeare,10,0.098457,0.080774,False,3,0.300000
v1_pro,f1,herbert_george_wells,agnes_may_fleming,10,0.098457,0.258731,True,10,1.000000
v1_pro,f3,herbert_george_wells,jane_austen,10,0.212279,0.220680,True,6,0.600000
v1_pro,f3,herbert_george_wells,william_shakespeare,10,0.212279,0.198169,False,4,0.400000
v1_pro,f3,herbert_george_wells,agnes_may_fleming,10,0.212279,0.660309,True,10,1.000000
v1_pro,f1,agnes_may_fleming,jane_austen,10,0.283184,0.149522,False,0,0.000000
v1_pro,f1,agnes_may_fleming,william_shakespeare,10,0.283184,0.093829,False,0,0.000000
v1_pro,f1,agnes_may_fleming,herbert_george_wells,10,0.283184,0.177812,False,0,0.000000
v1_pro,f3,agnes_may_fleming,jane_austen,10,0.716706,0.287422,False,0,0.000000
v1_pro,f3,agnes_may_fleming,william_shakespeare,10,0.716706,0.226452,False,0,0.000000
v1_pro,f3,agnes_may_fleming,herbert_george_wells,10,0.716706,0.373117,False,0,0.000000
v2_flash,f1,jane_austen,william_shakespeare,10,0.115045,0.130399,True,10,1.000000
v2_flash,f1,jane_austen,herbert_george_wells,10,0.115045,0.222397,True,10,1.000000
v2_flash,f1,jane_austen,agnes_may_fleming,10,0.115045,0.083228,False,0,0.000000
v2_flash,f3,jane_austen,william_shakespeare,10,0.272345,0.347337,True,10,1.000000
v2_flash,f3,jane_austen,herbert_george_wells,10,0.272345,0.473158,True,10,1.000000
v2_flash,f3,jane_austen,agnes_may_fleming,10,0.272345,0.172720,False,0,0.000000
v2_flash,f1,william_shakespeare,jane_austen,8,0.396388,0.729424,True,8,1.000000
v2_flash,f1,william_shakespeare,herbert_george_wells,8,0.396388,0.699206,True,7,0.875000
v2_flash,f1,william_shakespeare,agnes_may_fleming,8,0.396388,1.164454,True,8,1.000000
v2_flash,f3,william_shakespeare,jane_austen,8,0.768313,1.338246,True,8,1.000000
v2_flash,f3,william_shakespeare,herbert_george_wells,8,0.768313,1.316995,True,8,1.000000
v2_flash,f3,william_shakespeare,agnes_may_fleming,8,0.768313,3.275026,True,8,1.000000
v2_flash,f1,herbert_george_wells,jane_austen,10,0.286908,0.325640,True,6,0.600000
v2_flash,f1,herbert_george_wells,william_shakespeare,10,0.286908,0.224947,False,2,0.200000
v2_flash,f1,herbert_george_wells,agnes_may_fleming,10,0.286908,0.588252,True,10,1.000000
v2_flash,f3,herbert_george_wells,jane_austen,10,0.653817,0.654708,True,3,0.300000
v2_flash,f3,herbert_george_wells,william_shakespeare,10,0.653817,0.479162,False,1,0.100000
v2_flash,f3,herbert_george_wells,agnes_may_fleming,10,0.653817,1.750051,True,10,1.000000
v2_flash,f1,agnes_may_fleming,jane_austen,10,0.160635,0.261130,True,10,1.000000
v2_flash,f1,agnes_may_fleming,william_shakespeare,10,0.160635,0.263061,True,9,0.900000
v2_flash,f1,agnes_may_fleming,herbert_george_wells,10,0.160635,0.416812,True,10,1.000000
v2_flash,f3,agnes_may_fleming,jane_austen,10,0.288661,0.480101,True,10,1.000000
v2_flash,f3,agnes_may_fleming,william_shakespeare,10,0.288661,0.522444,True,9,0.900000
v2_flash,f3,agnes_may_fleming,herbert_george_wells,10,0.288661,0.786768,True,10,1.000000
v3_flash,f1,jane_austen,william_shakespeare,10,0.148867,0.141202,False,3,0.300000
v3_flash,f1,jane_austen,herbert_george_wells,10,0.148867,0.228564,True,10,1.000000
v3_flash,f1,jane_austen,agnes_may_fleming,10,0.148867,0.133235,False,3,0.300000
v3_flash,f3,jane_austen,william_shakespeare,10,0.314207,0.368431,True,10,1.000000
v3_flash,f3,jane_austen,herbert_george_wells,10,0.314207,0.467286,True,10,1.000000
v3_flash,f3,jane_austen,agnes_may_fleming,10,0.314207,0.256464,False,1,0.100000
v3_flash,f1,william_shakespeare,jane_austen,9,0.122306,0.348254,True,9,1.000000
v3_flash,f1,william_shakespeare,herbert_george_wells,9,0.122306,0.544977,True,9,1.000000
v3_flash,f1,william_shakespeare,agnes_may_fleming,9,0.122306,0.386095,True,9,1.000000
v3_flash,f3,william_shakespeare,jane_austen,9,0.297382,0.691931,True,9,1.000000
v3_flash,f3,william_shakespeare,herbert_george_wells,9,0.297382,0.983930,True,9,1.000000
v3_flash,f3,william_shakespeare,agnes_may_fleming,9,0.297382,0.621518,True,9,1.000000
v3_flash,f1,herbert_george_wells,jane_austen,10,0.408816,0.250542,False,0,0.000000
v3_flash,f1,herbert_george_wells,william_shakespeare,10,0.408816,0.154376,False,0,0.000000
v3_flash,f1,herbert_george_wells,agnes_may_fleming,10,0.408816,0.203814,False,0,0.000000
v3_flash,f3,herbert_george_wells,jane_austen,10,0.825682,0.513776,False,0,0.000000
v3_flash,f3,herbert_george_wells,william_shakespeare,10,0.825682,0.357426,False,0,0.000000
v3_flash,f3,herbert_george_wells,agnes_may_fleming,10,0.825682,0.369493,False,0,0.000000
v3_flash,f1,agnes_may_fleming,jane_austen,10,0.202524,0.257167,True,9,0.900000
v3_flash,f1,agnes_may_fleming,william_shakespeare,10,0.202524,0.190203,False,5,0.500000
v3_flash,f1,agnes_may_fleming,herbert_george_wells,10,0.202524,0.396721,True,10,1.000000
v3_flash,f3,agnes_may_fleming,jane_austen,10,0.339974,0.492709,True,10,1.000000
v3_flash,f3,agnes_may_fleming,william_shakespeare,10,0.339974,0.416218,True,6,0.600000
v3_flash,f3,agnes_may_fleming,herbert_george_wells,10,0.339974,0.764382,True,10,1.000000
