unit,chunk_size,feature,n,correct,accuracy_pct,chance_pct,author
document,,f1,22,10,45.45454545454545,10.0,
document,,f3,22,11,50.0,10.0,
chunk,1000,f1,44,28,63.63636363636363,10.0,jane_austen
chunk,1000,f1,14,1,7.142857142857143,10.0,herbert_george_wells
chunk,1000,f1,49,2,4.081632653061225,10.0,agnes_may_fleming
chunk,1000,f1,69,54,78.26086956521739,10.0,charles_dickens
chunk,1000,f1,32,4,12.5,10.0,mark_twain
chunk,1000,f1,36,27,75.0,10.0,arthur_conan_doyle
chunk,1000,f1,37,31,83.78378378378379,10.0,mary_shelley
chunk,1000,f1,83,0,0.0,10.0,charlotte_bronte
chunk,1000,f1,20,1,5.0,10.0,oscar_wilde
chunk,1000,f1,26,6,23.076923076923077,10.0,joseph_conrad
chunk,1000,f1,410,154,37.5609756097561,10.0,ALL
chunk,1000,f3,44,30,68.18181818181819,10.0,jane_austen
chunk,1000,f3,14,2,14.285714285714286,10.0,herbert_george_wells
chunk,1000,f3,49,0,0.0,10.0,agnes_may_fleming
chunk,1000,f3,69,60,86.95652173913044,10.0,charles_dickens
chunk,1000,f3,32,16,50.0,10.0,mark_twain
chunk,1000,f3,36,27,75.0,10.0,arthur_conan_doyle
chunk,1000,f3,37,33,89.1891891891892,10.0,mary_shelley
chunk,1000,f3,83,1,1.2048192771084338,10.0,charlotte_bronte
chunk,1000,f3,20,1,5.0,10.0,oscar_wilde
chunk,1000,f3,26,6,23.076923076923077,10.0,joseph_conrad
chunk,1000,f3,410,176,42.926829268292686,10.0,ALL
chunk,2000,f1,21,17,80.95238095238095,10.0,jane_austen
chunk,2000,f1,7,0,0.0,10.0,herbert_george_wells
chunk,2000,f1,24,1,4.166666666666667,10.0,agnes_may_fleming
chunk,2000,f1,34,29,85.29411764705883,10.0,charles_dickens
chunk,2000,f1,15,0,0.0,10.0,mark_twain
chunk,2000,f1,17,16,94.11764705882354,10.0,arthur_conan_doyle
chunk,2000,f1,18,16,88.88888888888889,10.0,mary_shelley
chunk,2000,f1,41,0,0.0,10.0,charlotte_bronte
chunk,2000,f1,9,0,0.0,10.0,oscar_wilde
chunk,2000,f1,12,2,16.666666666666668,10.0,joseph_conrad
chunk,2000,f1,198,81,40.90909090909091,10.0,ALL
chunk,2000,f3,21,19,90.47619047619048,10.0,jane_austen
chunk,2000,f3,7,0,0.0,10.0,herbert_george_wells
chunk,2000,f3,24,0,0.0,10.0,agnes_may_fleming
chunk,2000,f3,34,32,94.11764705882354,10.0,charles_dickens
chunk,2000,f3,15,9,60.0,10.0,mark_twain
chunk,2000,f3,17,16,94.11764705882354,10.0,arthur_conan_doyle
chunk,2000,f3,18,16,88.88888888888889,10.0,mary_shelley
chunk,2000,f3,41,0,0.0,10.0,charlotte_bronte
chunk,2000,f3,9,0,0.0,10.0,oscar_wilde
chunk,2000,f3,12,2,16.666666666666668,10.0,joseph_conrad
chunk,2000,f3,198,94,47.474747474747474,10.0,ALL
chunk,4000,f1,10,9,90.0,10.0,jane_austen
chunk,4000,f1,3,0,0.0,10.0,herbert_george_wells
chunk,4000,f1,11,0,0.0,10.0,agnes_may_fleming
chunk,4000,f1,16,14,87.5,10.0,charles_dickens
chunk,4000,f1,7,0,0.0,10.0,mark_twain
chunk,4000,f1,7,7,100.0,10.0,arthur_conan_doyle
chunk,4000,f1,8,8,100.0,10.0,mary_shelley
chunk,4000,f1,20,0,0.0,10.0,charlotte_bronte
chunk,4000,f1,4,0,0.0,10.0,oscar_wilde
chunk,4000,f1,6,1,16.666666666666668,10.0,joseph_conrad
chunk,4000,f1,92,39,42.391304347826086,10.0,ALL
chunk,4000,f3,10,9,90.0,10.0,jane_austen
chunk,4000,f3,3,0,0.0,10.0,herbert_george_wells
chunk,4000,f3,11,0,0.0,10.0,agnes_may_fleming
chunk,4000,f3,16,15,93.75,10.0,charles_dickens
chunk,4000,f3,7,6,85.71428571428571,10.0,mark_twain
chunk,4000,f3,7,7,100.0,10.0,arthur_conan_doyle
chunk,4000,f3,8,8,100.0,10.0,mary_shelley
chunk,4000,f3,20,0,0.0,10.0,charlotte_bronte
chunk,4000,f3,4,0,0.0,10.0,oscar_wilde
chunk,4000,f3,6,2,33.333333333333336,10.0,joseph_conrad
chunk,4000,f3,92,47,51.08695652173913,10.0,ALL
