sample_id,author,book,mark_index,mark,context,manual_state,notes
S001,louis_joseph_vance,gutenberg_texts/9378.txt,10864,.,"wasn't altogether the professional jealousy of De Morbihan, Popinot and Wertheimer; it was the strange, rancorous spite that animated Bannon ⟦.⟧ But, again, why? Could it be that Bannon so resented the aid and encouragement Lanyard had afforded the girl in her abortive attempt to es",narration,
S002,charlotte_bronte,gutenberg_texts/9182.txt,5680,",","nature—the mainspring of her motives—the alpha and omega of her life. I have seen her _feelings_ appealed to, and I have smiled in half-pity ⟦,⟧ half-scorn at the appellants. None ever gained her ear through that channel, or swayed her purpose by that means. On the contrary, to attem",narration,
S003,joseph_conrad,gutenberg_texts/2021.txt,13787,.,"co, and I have got much useful information simply by listening patiently to the talk of the women that everybody believed I was in love with ⟦.⟧ Poor Teresa could never understand that. On that particular Sunday, senor, she scolded so that I went out of the house swearing that I woul",dialogue,Nostromo's long spoken narrative to a listener ('senor'); quote delimiters fall outside the context window
S004,mark_twain,gutenberg_texts/76.txt,7136,;,"in her door, which was next to ours, and she took me in her room and shut the door very soft, and asked me if I liked her, and I said I did ⟦;⟧ and she asked me if I would do something for her and not tell anybody, and I said I would. Then she said she’d forgot her Testament, and le",narration,
S005,susan_warner,gutenberg_texts/16918.txt,4783,.,"he Evangel of St. John, and the Aeneid. Are you going on to study it now?"" ""Yes sir, -- as much as I can find time."" ""Greek too?"" ""No sir ⟦.⟧ I am only beginning."" ""I ask, because I saw some Greek books on de table de ozer night and I wondered -- excuse me -- who was reading them",dialogue,
S006,john_c_hutcheson,gutenberg_texts/24267.txt,10940,",","remain in proximity to the _Muscadine_ without the necessity of laying-to like a sailing-ship, or any trouble save slacking speed. ""Answer ⟦,⟧ "" repeated the corsair sternly, still in the same melodramatic whisper, enforcing his order with a dig of the revolver barrel in Tompkins' s",dialogue,
S007,oscar_wilde,gutenberg_texts/773.txt,527,",","of coming evil. He smiled sadly at his sister, as she swept past him on Lord Plymdale’s arm, looking lovely in her pink brocade and pearls ⟦,⟧ and he hardly heard Lady Windermere when she called to him to follow her. He thought of Sybil Merton, and the idea that anything could com",narration,
S008,luis_senarens,gutenberg_texts/55562.txt,1594,!,"you strike?” shouted Frank. “Didn’t strike nuffin’, sah. Somefin’ struck us, an’ it was de berry bigges’ fish eber dis chile see!” “A fish ⟦!⟧ ” exclaimed Frank. “Yas, sah! Jes’ look ober yonder.” Frank had reversed the motive key, and the Dolphin had come to a stop. Dead ahead, i",dialogue,
S009,kathleen_thompson_norris,gutenberg_texts/28301.txt,7959,",","Ah, Norma--Norma--Norma!"" he said--quickly, half laughingly. Then his expression changed, and his smile died away. ""I have something to bear ⟦,⟧ "" he said, with a glance upward toward Alice's windows. ""Life isn't roses, roses, all the way for any one of us, my dear! Now, you've got a",dialogue,
S010,kathleen_thompson_norris,gutenberg_texts/4787.txt,17553,",","""Well,"" Barbara flung her head back as if she tossed the subject aside, ""I suppose I am bitter! And why you're not, Ju, I can't understand ⟦,⟧ for you never had one tenth the chance I did!"" ""No,"" Julia assented gravely, ""I never did. If my mother had kept me with her--and she coul",dialogue,
S011,susan_warner,gutenberg_texts/8874.txt,26622,",","house her old housewifery concerns, her share in Barby's cares or difficulties, her sweet countenancing and cheering of her aunt, her dinner ⟦,⟧ her work;--then when evening came, budding her roses or tying her carnations or weeding or raking the ground between them, (where Philetus",narration,
S012,charlotte_bronte,gutenberg_texts/30486.txt,27226,"""","ve always liked you."" ""Jessie, curb that tongue of yours, and repress your forwardness!"" said Mrs. Yorke. ""But, mother, you are so frozen! ⟦""⟧ expostulated Jessie. ""Miss Helstone has never done you any harm; why can't you be kind to her? You sit so stiff, and look so cold, and spea",dialogue,
S013,robert_sidney_bowen,gutenberg_texts/32542.txt,8623,",","ith himself. ""Freddy and I knew something that can mean plenty to Colonel Welsh and Admiral Jackson. And to the forces attacking Guadalcanal ⟦,⟧ too. We've just _got_ to get that information through, somehow. And that's all there is to it, darn it!"" Yes, that's all there was to it,",dialogue,
S014,susan_warner,gutenberg_texts/16918.txt,2427,?,"rop to be dressing flax for anybody else?"" ""What's the wrong?"" said his brother. ""Is it, mamma?"" But mamma was silent. ""What's the wrong ⟦?⟧ "" repeated Winthrop. ""Because you ought to be doing your own business."" ""Never did, if I didn't to-day,"" Winthrop remarked as he came to t",dialogue,
S015,charlotte_bronte,gutenberg_texts/1260.txt,21428,?,"my little finger. It was a burning shame and a scandalous disgrace to act in that way. Did you think nothing of Miss Ingram’s feelings, sir ⟦?⟧ ” “Her feelings are concentrated in one—pride; and that needs humbling. Were you jealous, Jane?” “Never mind, Mr. Rochester: it is in no w",dialogue,
S016,charlotte_bronte,gutenberg_texts/30486.txt,37922,",","ore, uncle, have the kindness to keep to the point. Let us both remain cool. For my part, I do not wish to get into a passion; but, you know ⟦,⟧ once drive me beyond certain bounds, I care little what I say--I am not then soon checked. Listen! You have asked me whether Sir Philip mad",dialogue,
S017,susan_warner,gutenberg_texts/29824.txt,12589,.,"he disagreeableness and told her mother long ago of her interest in Evan. Mrs. Starling could take measures that her daughter could not take ⟦.⟧ If she pleased, that is; and the doubt also recurred, whether she would please. It was by no means certain; and at any rate now, in her mor",narration,
S018,charlotte_bronte,gutenberg_texts/1260.txt,7438,",","and broad as oaks, at once explained the etymology of the mansion’s designation. Farther off were hills: not so lofty as those round Lowood ⟦,⟧ nor so craggy, nor so like barriers of separation from the living world; but yet quiet and lonely hills enough, and seeming to embrace Thor",narration,
S019,ethel_m_dell,gutenberg_texts/12360.txt,15376,;,"for it. She's got a way with her, Burke. Sure, the devil himself couldn't have resisted her then."" Burke's faint smile showed for a moment ⟦;⟧ he said nothing. ""How you must worship her!"" went on Kelly, with amiable effusion. ""Some fellows have all the luck. Sure, you're never go",narration,
