chunk_size,policy,feature,n_human_chunks,mean_G,median_G,chi2_df,overdispersion,nominal_5pct_rejection_rate
1000,pooled_all_books,f1,410,61.51627666452134,45.16053396710738,9,6.835141851613482,0.875609756097561
1000,pooled_all_books,f3,410,115.46112422134323,101.51820653604105,90,1.282901380237147,0.3902439024390244
1000,leave_one_book_out,f1,410,161.2104224015163,90.33247834990726,9,17.912269155724033,0.9512195121951219
1000,leave_one_book_out,f3,410,244.91648877984213,172.70360779441427,90,2.7212943197760238,0.7439024390243902
2000,pooled_all_books,f1,198,90.25730376576075,59.971067979548614,9,10.028589307306751,0.9141414141414141
2000,pooled_all_books,f3,198,157.29296715389373,126.87867946403101,90,1.7476996350432636,0.6262626262626263
2000,leave_one_book_out,f1,198,287.403855867958,154.44351530417066,9,31.933761763106443,0.9747474747474747
2000,leave_one_book_out,f3,198,414.35349253975954,255.39414043929398,90,4.603927694886218,0.9141414141414141
4000,pooled_all_books,f1,92,136.8054177246577,90.64857007718987,9,15.200601969406412,0.9565217391304348
4000,pooled_all_books,f3,92,222.61765468371996,180.9913578216112,90,2.4735294964857775,0.717391304347826
4000,leave_one_book_out,f1,92,522.7758774799274,273.07752792603213,9,58.086208608880824,1.0
4000,leave_one_book_out,f3,92,730.8453332007585,474.29930087457063,90,8.12050370223065,1.0
