fold,author,cohort,role
0,jane_austen,existing,calibration
0,herbert_george_wells,existing,test
0,agnes_may_fleming,existing,calibration
0,charles_dickens,existing,calibration
0,mark_twain,existing,calibration
0,arthur_conan_doyle,existing,calibration
0,mary_shelley,existing,calibration
0,charlotte_bronte,existing,calibration
0,oscar_wilde,existing,calibration
0,joseph_conrad,existing,test
0,mildred_wirt,new,test
0,robert_sidney_bowen,new,calibration
0,luis_senarens,new,calibration
0,john_c_hutcheson,new,calibration
0,harold_l_goodwin,new,calibration
0,kathleen_thompson_norris,new,test
0,arthur_scott_bailey,new,calibration
0,louis_joseph_vance,new,calibration
0,susan_warner,new,calibration
0,ethel_m_dell,new,calibration
1,jane_austen,existing,calibration
1,herbert_george_wells,existing,calibration
1,agnes_may_fleming,existing,test
1,charles_dickens,existing,calibration
1,mark_twain,existing,calibration
1,arthur_conan_doyle,existing,test
1,mary_shelley,existing,calibration
1,charlotte_bronte,existing,calibration
1,oscar_wilde,existing,calibration
1,joseph_conrad,existing,calibration
1,mildred_wirt,new,calibration
1,robert_sidney_bowen,new,test
1,luis_senarens,new,test
1,john_c_hutcheson,new,calibration
1,harold_l_goodwin,new,calibration
1,kathleen_thompson_norris,new,calibration
1,arthur_scott_bailey,new,calibration
1,louis_joseph_vance,new,calibration
1,susan_warner,new,calibration
1,ethel_m_dell,new,calibration
2,jane_austen,existing,test
2,herbert_george_wells,existing,calibration
2,agnes_may_fleming,existing,calibration
2,charles_dickens,existing,calibration
2,mark_twain,existing,test
2,arthur_conan_doyle,existing,calibration
2,mary_shelley,existing,calibration
2,charlotte_bronte,existing,calibration
2,oscar_wilde,existing,calibration
2,joseph_conrad,existing,calibration
2,mildred_wirt,new,calibration
2,robert_sidney_bowen,new,calibration
2,luis_senarens,new,calibration
2,john_c_hutcheson,new,calibration
2,harold_l_goodwin,new,test
2,kathleen_thompson_norris,new,calibration
2,arthur_scott_bailey,new,calibration
2,louis_joseph_vance,new,test
2,susan_warner,new,calibration
2,ethel_m_dell,new,calibration
3,jane_austen,existing,calibration
3,herbert_george_wells,existing,calibration
3,agnes_may_fleming,existing,calibration
3,charles_dickens,existing,test
3,mark_twain,existing,calibration
3,arthur_conan_doyle,existing,calibration
3,mary_shelley,existing,calibration
3,charlotte_bronte,existing,calibration
3,oscar_wilde,existing,test
3,joseph_conrad,existing,calibration
3,mildred_wirt,new,calibration
3,robert_sidney_bowen,new,calibration
3,luis_senarens,new,calibration
3,john_c_hutcheson,new,test
3,harold_l_goodwin,new,calibration
3,kathleen_thompson_norris,new,calibration
3,arthur_scott_bailey,new,calibration
3,louis_joseph_vance,new,calibration
3,susan_warner,new,test
3,ethel_m_dell,new,calibration
4,jane_austen,existing,calibration
4,herbert_george_wells,existing,calibration
4,agnes_may_fleming,existing,calibration
4,charles_dickens,existing,calibration
4,mark_twain,existing,calibration
4,arthur_conan_doyle,existing,calibration
4,mary_shelley,existing,test
4,charlotte_bronte,existing,test
4,oscar_wilde,existing,calibration
4,joseph_conrad,existing,calibration
4,mildred_wirt,new,calibration
4,robert_sidney_bowen,new,calibration
4,luis_senarens,new,calibration
4,john_c_hutcheson,new,calibration
4,harold_l_goodwin,new,calibration
4,kathleen_thompson_norris,new,calibration
4,arthur_scott_bailey,new,test
4,louis_joseph_vance,new,calibration
4,susan_warner,new,calibration
4,ethel_m_dell,new,test
