condition,author_set,feature,window_size,window_index,start_mark,end_mark,target_author,run_id,source_book,target_kl,nearest_other_kl,target_margin,target_rank,target_hit,predicted_author
flash,all_authors,f1,1000,1,0,1000,jane_austen,1,full_books/jane_austen_full.txt,0.11136516729120537,0.08390177316694676,-0.027463394124258605,4,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,1,full_books/jane_austen_full.txt,0.10468737348397596,0.08272827116391554,-0.021959102320060417,4,False,joseph_conrad
flash,all_authors,f1,1000,3,2000,3000,jane_austen,1,full_books/jane_austen_full.txt,0.12996505837025468,0.11556726287711935,-0.01439779549313533,2,False,mary_shelley
flash,all_authors,f1,1000,4,3000,4000,jane_austen,1,full_books/jane_austen_full.txt,0.04117669995994095,0.02996930320382954,-0.011207396756111411,2,False,mary_shelley
flash,all_authors,f1,1000,5,4000,5000,jane_austen,1,full_books/jane_austen_full.txt,0.10683158505785183,0.08395023887090025,-0.022881346186951576,5,False,joseph_conrad
flash,all_authors,f1,1000,1,0,1000,jane_austen,2,full_books/jane_austen_full.txt,0.0797174857828822,0.07046620286007876,-0.00925128292280343,3,False,oscar_wilde
flash,all_authors,f1,1000,2,1000,2000,jane_austen,2,full_books/jane_austen_full.txt,0.09777200196346253,0.10543000915596235,0.007658007192499816,1,True,jane_austen
flash,all_authors,f1,1000,3,2000,3000,jane_austen,2,full_books/jane_austen_full.txt,0.06554317760923266,0.06083407148610547,-0.004709106123127187,3,False,oscar_wilde
flash,all_authors,f1,1000,4,3000,4000,jane_austen,2,full_books/jane_austen_full.txt,0.06865681040179276,0.05249218356101308,-0.016164626840779683,5,False,oscar_wilde
flash,all_authors,f1,1000,5,4000,5000,jane_austen,2,full_books/jane_austen_full.txt,0.07804429218305542,0.054589118453234574,-0.023455173729820845,5,False,oscar_wilde
flash,all_authors,f1,1000,1,0,1000,jane_austen,3,gutenberg_texts/161.txt,0.05522685707156566,0.03446564144847439,-0.020761215623091273,5,False,joseph_conrad
flash,all_authors,f1,1000,2,1000,2000,jane_austen,3,gutenberg_texts/161.txt,0.11031965911891149,0.0749300174356427,-0.03538964168326879,5,False,oscar_wilde
flash,all_authors,f1,1000,3,2000,3000,jane_austen,3,gutenberg_texts/161.txt,0.08599772272770952,0.04847601779973703,-0.037521704927972487,6,False,oscar_wilde
flash,all_authors,f1,1000,4,3000,4000,jane_austen,3,gutenberg_texts/161.txt,0.1006604471649194,0.060238444804903125,-0.04042200236001627,6,False,oscar_wilde
flash,all_authors,f1,1000,5,4000,5000,jane_austen,3,gutenberg_texts/161.txt,0.11357277183549719,0.08672318875691867,-0.026849583078578515,6,False,oscar_wilde
flash,all_authors,f1,1000,1,0,1000,jane_austen,4,full_books/jane_austen_full.txt,0.14410395777858248,0.09478519743556774,-0.049318760343014745,2,False,mary_shelley
flash,all_authors,f1,1000,2,1000,2000,jane_austen,4,full_books/jane_austen_full.txt,0.1779274185578801,0.10403780997766078,-0.07388960858021933,3,False,mary_shelley
