author,book_id,n_marks,eligible_start,eligible_interior,interior_offset
jane_austen,full_books/jane_austen_full.txt,25935,True,True,6090
jane_austen,gutenberg_texts/161.txt,19527,True,True,12109
jane_austen,gutenberg_texts/1342.txt,21647,True,True,9087
herbert_george_wells,full_books/herbert_george_wells_full.txt,10099,True,True,3515
herbert_george_wells,gutenberg_texts/35.txt,4876,False,False,
herbert_george_wells,gutenberg_texts/36.txt,8652,True,True,1298
agnes_may_fleming,full_books/agnes_may_fleming_full.txt,18922,True,True,4018
agnes_may_fleming,gutenberg_texts/7063.txt,31248,True,True,8517
agnes_may_fleming,gutenberg_texts/15317.txt,18437,True,True,2956
charles_dickens,gutenberg_texts/46.txt,6570,True,True,1391
charles_dickens,gutenberg_texts/98.txt,28113,True,True,1613
charles_dickens,gutenberg_texts/1400.txt,35915,True,True,8714
mark_twain,gutenberg_texts/74.txt,13796,True,True,2457
mark_twain,gutenberg_texts/76.txt,19310,True,True,9564
mark_twain,gutenberg_texts/86.txt,18981,True,True,13962
arthur_conan_doyle,gutenberg_texts/1661.txt,19768,True,True,7196
arthur_conan_doyle,gutenberg_texts/244.txt,7515,True,True,2338
arthur_conan_doyle,gutenberg_texts/2852.txt,10135,True,True,1859
mary_shelley,gutenberg_texts/84.txt,10089,True,True,2425
mary_shelley,gutenberg_texts/18247.txt,27312,True,True,15447
mary_shelley,gutenberg_texts/15238.txt,5062,True,False,
charlotte_bronte,gutenberg_texts/1260.txt,37824,True,True,14630
charlotte_bronte,gutenberg_texts/30486.txt,46038,True,True,1500
charlotte_bronte,gutenberg_texts/9182.txt,38724,True,True,28178
oscar_wilde,gutenberg_texts/174.txt,15200,True,True,6356
oscar_wilde,gutenberg_texts/773.txt,5765,True,False,
oscar_wilde,gutenberg_texts/14522.txt,1955,False,False,
joseph_conrad,gutenberg_texts/219.txt,5780,True,False,
joseph_conrad,gutenberg_texts/5658.txt,21875,True,True,10215
joseph_conrad,gutenberg_texts/2021.txt,27296,True,True,6479
mildred_wirt,gutenberg_texts/34592.txt,9815,True,True,3283
mildred_wirt,gutenberg_texts/34832.txt,10196,True,True,4857
mildred_wirt,gutenberg_texts/35082.txt,10825,True,True,5703
robert_sidney_bowen,gutenberg_texts/32440.txt,9774,True,True,3357
robert_sidney_bowen,gutenberg_texts/32331.txt,9543,True,True,3230
robert_sidney_bowen,gutenberg_texts/32542.txt,9938,True,True,3291
luis_senarens,gutenberg_texts/54629.txt,6575,True,True,1228
luis_senarens,gutenberg_texts/54648.txt,6621,True,True,1022
luis_senarens,gutenberg_texts/55562.txt,6501,True,True,1450
john_c_hutcheson,gutenberg_texts/21107.txt,13746,True,True,5761
john_c_hutcheson,gutenberg_texts/24267.txt,15014,True,True,8124
john_c_hutcheson,gutenberg_texts/21108.txt,21933,True,True,8199
harold_l_goodwin,gutenberg_texts/31581.txt,8737,True,True,3375
harold_l_goodwin,gutenberg_texts/31589.txt,8549,True,True,1122
harold_l_goodwin,gutenberg_texts/32059.txt,8024,True,True,2272
kathleen_thompson_norris,gutenberg_texts/3635.txt,6445,True,True,1281
kathleen_thompson_norris,gutenberg_texts/4787.txt,29871,True,True,4811
kathleen_thompson_norris,gutenberg_texts/28301.txt,18780,True,True,4990
arthur_scott_bailey,gutenberg_texts/9462.txt,2341,False,False,
arthur_scott_bailey,gutenberg_texts/18656.txt,2845,False,False,
arthur_scott_bailey,gutenberg_texts/24589.txt,2650,False,False,
louis_joseph_vance,gutenberg_texts/8741.txt,13154,True,True,2400
louis_joseph_vance,gutenberg_texts/9378.txt,13437,True,True,7652
louis_joseph_vance,gutenberg_texts/9779.txt,18853,True,True,13803
susan_warner,gutenberg_texts/16918.txt,47316,True,True,32085
susan_warner,gutenberg_texts/8874.txt,51920,True,True,8123
susan_warner,gutenberg_texts/29824.txt,29636,True,True,5351
ethel_m_dell,gutenberg_texts/12360.txt,23445,True,True,9724
ethel_m_dell,gutenberg_texts/13960.txt,23345,True,True,7857
ethel_m_dell,gutenberg_texts/13547.txt,34173,True,True,10038
