author,n_marks,n_included_books,included_books,excluded_books,times_requested,callers
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,,7381,__main__.exp_detection; __main__.exp_llm_attribution; __main__.exp_separability
agnes_may_fleming,49685,2,gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,full_books/agnes_may_fleming_full.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,full_books/herbert_george_wells_full.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,full_books/jane_austen_full.txt,284,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/12360.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/1260.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/1342.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/13547.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/13960.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/1400.txt,128,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/14522.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/15238.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/15317.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/161.txt,128,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/1661.txt,154,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/16918.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/174.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/18247.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/18656.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/2021.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/21107.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/21108.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/219.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/24267.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/244.txt,141,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/24589.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/28301.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/2852.txt,128,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/29824.txt,11,__main__.exp_detection; __main__.exp_human_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/30486.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,68607,3,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt; gutenberg_texts/15317.txt,gutenberg_texts/31581.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
