author,book,n_marks,narration_marks,dialogue_marks,dialogue_fraction,narration_blocks,dialogue_blocks,unmatched_closers,paragraph_unclosed_quotes
jane_austen,full_books/jane_austen_full.txt,25935,10984,14951,0.576479660690187,996,995,153,61
jane_austen,gutenberg_texts/161.txt,19527,8978,10549,0.5402263532544682,871,870,68,28
jane_austen,gutenberg_texts/1342.txt,21647,9664,11983,0.5535640042500115,1013,1012,53,33
herbert_george_wells,full_books/herbert_george_wells_full.txt,10099,3976,6123,0.6062976532329933,871,870,112,103
herbert_george_wells,gutenberg_texts/35.txt,4876,663,4213,0.8640278917145201,140,139,7,169
herbert_george_wells,gutenberg_texts/36.txt,8652,6855,1797,0.20769764216366157,334,334,29,3
agnes_may_fleming,full_books/agnes_may_fleming_full.txt,18922,7335,11587,0.6123559877391396,1146,1145,15,27
agnes_may_fleming,gutenberg_texts/7063.txt,31248,12775,18473,0.5911738351254481,2129,2128,0,139
agnes_may_fleming,gutenberg_texts/15317.txt,18437,6064,12373,0.6710961653197375,1367,1366,0,110
charles_dickens,gutenberg_texts/46.txt,6570,3428,3142,0.478234398782344,515,514,0,14
charles_dickens,gutenberg_texts/98.txt,28113,13140,14973,0.5326005762458649,1582,1582,71,126
charles_dickens,gutenberg_texts/1400.txt,35915,17928,17987,0.5008213838229152,2547,2546,205,36
mark_twain,gutenberg_texts/74.txt,13796,6415,7381,0.5350101478689475,711,710,237,14
mark_twain,gutenberg_texts/76.txt,19310,10788,8522,0.44132573795960645,830,829,994,19
mark_twain,gutenberg_texts/86.txt,18981,11110,7871,0.4146778357304673,508,507,23,38
arthur_conan_doyle,gutenberg_texts/1661.txt,19768,3418,16350,0.8270942938081748,965,964,78,430
arthur_conan_doyle,gutenberg_texts/244.txt,7515,2863,4652,0.6190286094477712,526,526,60,79
arthur_conan_doyle,gutenberg_texts/2852.txt,10135,2627,7508,0.7407992106561421,495,495,8,35
mary_shelley,gutenberg_texts/84.txt,10089,5207,4882,0.4838933491921895,216,215,7,186
mary_shelley,gutenberg_texts/18247.txt,27312,21681,5631,0.20617311072056238,560,559,59,70
mary_shelley,gutenberg_texts/15238.txt,5062,3563,1499,0.296128012643224,135,135,11,44
charlotte_bronte,gutenberg_texts/1260.txt,37824,16726,21098,0.5577939932318104,1800,1799,182,52
charlotte_bronte,gutenberg_texts/30486.txt,46038,16795,29243,0.6351926669273209,1719,1719,0,516
charlotte_bronte,gutenberg_texts/9182.txt,38724,23616,15108,0.39014564611093894,1705,1704,116,55
oscar_wilde,gutenberg_texts/174.txt,15200,5512,9688,0.6373684210526316,810,809,8,2
