model,arm,condition_dir,author,run_id,call_index,prompt_kind,excerpt_present,marks_before,marks_after,generator_marks_after,boundary_method,response_words,model_version,finish_reason,latency_s,prompt_tokens,output_tokens,thinking_tokens
flash,c2,flash_c2,jane_austen,1,1,initial,True,0,204,204,per_call_sum,1156,gemini-2.5-flash,FinishReason.STOP,1652.713732,2053,1490,3486
flash,c2,flash_c2,jane_austen,1,2,continuation_with_prompt,True,204,1030,1030,per_call_sum,4225,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.570198,2735,5480,2708
flash,c2,flash_c2,jane_austen,1,3,continuation_with_prompt,True,1030,1068,1068,per_call_sum,268,gemini-2.5-flash,FinishReason.MAX_TOKENS,64.272543,2724,327,7861
flash,c2,flash_c2,jane_austen,1,4,continuation_with_prompt,True,1068,1915,1915,per_call_sum,3947,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.17672,2716,5084,3103
flash,c2,flash_c2,jane_austen,1,5,continuation_with_prompt,True,1915,1968,1968,per_call_sum,254,gemini-2.5-flash,FinishReason.MAX_TOKENS,63.021102,2710,328,7860
flash,c2,flash_c2,jane_austen,1,6,continuation_with_prompt,True,1968,2166,2166,per_call_sum,1020,gemini-2.5-flash,FinishReason.MAX_TOKENS,61.47925,2730,1292,6896
flash,c2,flash_c2,jane_austen,1,7,continuation_with_prompt,True,2166,2216,2216,per_call_sum,266,gemini-2.5-flash,FinishReason.MAX_TOKENS,64.542328,2708,327,7861
flash,c2,flash_c2,jane_austen,1,8,continuation_with_prompt,True,2216,2457,2457,per_call_sum,1259,gemini-2.5-flash,FinishReason.MAX_TOKENS,57.374361,2713,1570,6618
flash,c2,flash_c2,jane_austen,1,9,continuation_with_prompt,True,2457,2512,2512,per_call_sum,258,gemini-2.5-flash,FinishReason.MAX_TOKENS,63.416153,2713,325,7863
flash,c2,flash_c2,jane_austen,1,10,continuation_with_prompt,True,2512,2556,2556,per_call_sum,270,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.979746,2718,328,7860
flash,c2,flash_c2,jane_austen,1,11,continuation_with_prompt,True,2556,2600,2600,per_call_sum,268,gemini-2.5-flash,FinishReason.MAX_TOKENS,59.00866,2701,327,7861
flash,c2,flash_c2,jane_austen,1,12,continuation_with_prompt,True,2600,2797,2797,per_call_sum,1180,gemini-2.5-flash,FinishReason.MAX_TOKENS,55.936803,2696,1432,6756
flash,c2,flash_c2,jane_austen,1,13,continuation_with_prompt,True,2797,3037,3037,per_call_sum,1515,gemini-2.5-flash,FinishReason.MAX_TOKENS,87.457936,2692,1834,6354
flash,c2,flash_c2,jane_austen,1,14,continuation_with_prompt,True,3037,3088,3088,per_call_sum,269,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.132955,2683,328,7860
flash,c2,flash_c2,jane_austen,1,15,continuation_with_prompt,True,3088,3136,3136,per_call_sum,266,gemini-2.5-flash,FinishReason.MAX_TOKENS,61.568049,2690,325,7863
flash,c2,flash_c2,jane_austen,1,16,continuation_with_prompt,True,3136,3188,3188,per_call_sum,263,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.963268,2699,328,7860
flash,c2,flash_c2,jane_austen,1,17,continuation_with_prompt,True,3188,4093,4093,per_call_sum,4437,gemini-2.5-flash,FinishReason.STOP,54.678976,2708,5661,1283
flash,c2,flash_c2,jane_austen,1,18,continuation_with_prompt,True,4093,4127,4127,per_call_sum,262,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.596222,2727,324,7864
flash,c2,flash_c2,jane_austen,1,19,continuation_with_prompt,True,4127,4170,4170,per_call_sum,260,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.467046,2715,328,7860
flash,c2,flash_c2,jane_austen,1,20,continuation_with_prompt,True,4170,5175,5175,per_call_sum,5560,gemini-2.5-flash,FinishReason.MAX_TOKENS,82.335332,2712,7017,1170
flash,c2,flash_c2,jane_austen,1,21,continuation_with_prompt,True,5175,5210,5210,per_call_sum,260,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.756844,2714,327,7861
flash,c2,flash_c2,jane_austen,1,22,continuation_with_prompt,True,5210,5249,5249,per_call_sum,260,gemini-2.5-flash,FinishReason.MAX_TOKENS,61.058432,2715,326,7862
flash,c2,flash_c2,jane_austen,1,23,continuation_with_prompt,True,5249,5299,5299,per_call_sum,240,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.696418,2716,324,7864
flash,c2,flash_c2,jane_austen,1,24,continuation_with_prompt,True,5299,6473,6473,per_call_sum,5347,gemini-2.5-flash,FinishReason.MAX_TOKENS,54.624524,2735,6998,1189
flash,c2,flash_c2,jane_austen,2,1,initial,True,0,261,261,per_call_sum,1099,gemini-2.5-flash,FinishReason.STOP,22.763908,2053,1491,2881
flash,c2,flash_c2,jane_austen,2,2,continuation_with_prompt,True,261,387,387,per_call_sum,685,gemini-2.5-flash,FinishReason.MAX_TOKENS,51.174093,2767,909,7279
flash,c2,flash_c2,jane_austen,2,3,continuation_with_prompt,True,387,435,435,per_call_sum,257,gemini-2.5-flash,FinishReason.MAX_TOKENS,63.780124,2747,326,7862
flash,c2,flash_c2,jane_austen,2,4,continuation_with_prompt,True,435,1511,1511,per_call_sum,5065,gemini-2.5-flash,FinishReason.MAX_TOKENS,61.266605,2736,6614,1573
flash,c2,flash_c2,jane_austen,2,5,continuation_with_prompt,True,1511,1566,1566,per_call_sum,332,gemini-2.5-flash,FinishReason.MAX_TOKENS,64.31099,2743,402,7786
flash,c2,flash_c2,jane_austen,2,6,continuation_with_prompt,True,1566,1599,1599,per_call_sum,278,gemini-2.5-flash,FinishReason.MAX_TOKENS,57.659342,2706,328,7860
flash,c2,flash_c2,jane_austen,2,7,continuation_with_prompt,True,1599,1774,1774,per_call_sum,1141,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.850031,2685,1366,6822
flash,c2,flash_c2,jane_austen,2,8,continuation_with_prompt,True,1774,1947,1947,per_call_sum,956,gemini-2.5-flash,FinishReason.MAX_TOKENS,54.082541,2689,1184,7004
flash,c2,flash_c2,jane_austen,2,9,continuation_with_prompt,True,1947,2604,2604,per_call_sum,3461,gemini-2.5-flash,FinishReason.STOP,46.538394,2708,4371,2037
flash,c2,flash_c2,jane_austen,2,10,continuation_with_prompt,True,2604,2725,2725,per_call_sum,789,gemini-2.5-flash,FinishReason.MAX_TOKENS,56.646413,2727,972,7216
flash,c2,flash_c2,jane_austen,2,11,continuation_with_prompt,True,2725,2781,2781,per_call_sum,260,gemini-2.5-flash,FinishReason.MAX_TOKENS,66.877722,2700,328,7860
flash,c2,flash_c2,jane_austen,2,12,continuation_with_prompt,True,2781,3809,3809,per_call_sum,5180,gemini-2.5-flash,FinishReason.MAX_TOKENS,93.198888,2713,6519,1668
flash,c2,flash_c2,jane_austen,2,13,continuation_with_prompt,True,3809,4182,4182,per_call_sum,2027,gemini-2.5-flash,FinishReason.MAX_TOKENS,87.415614,2709,2531,5657
flash,c2,flash_c2,jane_austen,2,14,continuation_with_prompt,True,4182,4236,4236,per_call_sum,254,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.200799,2706,323,7865
flash,c2,flash_c2,jane_austen,2,15,continuation_with_prompt,True,4236,4379,4379,per_call_sum,829,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.283388,2721,1047,7141
flash,c2,flash_c2,jane_austen,2,16,continuation_with_prompt,True,4379,4428,4428,per_call_sum,256,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.06907,2717,328,7860
flash,c2,flash_c2,jane_austen,2,17,continuation_with_prompt,True,4428,4529,4529,per_call_sum,567,gemini-2.5-flash,FinishReason.MAX_TOKENS,64.366297,2716,702,7486
flash,c2,flash_c2,jane_austen,2,18,continuation_with_prompt,True,4529,5409,5409,per_call_sum,3998,gemini-2.5-flash,FinishReason.STOP,42.659669,2704,5084,2046
flash,c2,flash_c2,jane_austen,2,19,continuation_with_prompt,True,5409,6282,6282,per_call_sum,4214,gemini-2.5-flash,FinishReason.MAX_TOKENS,61.566072,2736,5455,2732
flash,c2,flash_c2,jane_austen,3,1,initial,True,0,305,305,per_call_sum,1559,gemini-2.5-flash,FinishReason.STOP,19.047297,1994,1923,1439
flash,c2,flash_c2,jane_austen,3,2,continuation_with_prompt,True,305,1290,1290,per_call_sum,4796,gemini-2.5-flash,FinishReason.STOP,60.257656,2666,6195,1594
flash,c2,flash_c2,jane_austen,3,3,continuation_with_prompt,True,1290,1489,1489,per_call_sum,958,gemini-2.5-flash,FinishReason.MAX_TOKENS,57.966758,2642,1228,6960
flash,c2,flash_c2,jane_austen,3,4,continuation_with_prompt,True,1489,2260,2260,per_call_sum,3677,gemini-2.5-flash,FinishReason.MAX_TOKENS,56.974431,2666,4633,3555
flash,c2,flash_c2,jane_austen,3,5,continuation_with_prompt,True,2260,3205,3205,per_call_sum,4547,gemini-2.5-flash,FinishReason.MAX_TOKENS,63.940238,2649,5736,2452
flash,c2,flash_c2,jane_austen,3,6,continuation_with_prompt,True,3205,3266,3266,per_call_sum,248,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.992502,2644,325,7863
flash,c2,flash_c2,jane_austen,3,7,continuation_with_prompt,True,3266,3612,3612,per_call_sum,1493,gemini-2.5-flash,FinishReason.MAX_TOKENS,56.639231,2662,1893,6295
flash,c2,flash_c2,jane_austen,3,8,continuation_with_prompt,True,3612,3730,3730,per_call_sum,585,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.004466,2655,745,7443
flash,c2,flash_c2,jane_austen,3,9,continuation_with_prompt,True,3730,4843,4843,per_call_sum,5531,gemini-2.5-flash,FinishReason.MAX_TOKENS,55.421855,2662,6968,1219
flash,c2,flash_c2,jane_austen,3,10,continuation_with_prompt,True,4843,5776,5776,per_call_sum,4630,gemini-2.5-flash,FinishReason.STOP,59.04778,2656,5823,2018
flash,c2,flash_c2,jane_austen,3,11,continuation_with_prompt,True,5776,5951,5951,per_call_sum,890,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.964126,2654,1120,7068
flash,c2,flash_c2,jane_austen,3,12,continuation_with_prompt,True,5951,7038,7038,per_call_sum,5147,gemini-2.5-flash,FinishReason.MAX_TOKENS,54.008393,2664,6577,1610
flash,c2,flash_c2,jane_austen,4,1,initial,True,0,253,253,per_call_sum,1217,gemini-2.5-flash,FinishReason.STOP,30.313214,2053,1634,2476
flash,c2,flash_c2,jane_austen,4,2,continuation_with_prompt,True,253,304,304,per_call_sum,257,gemini-2.5-flash,FinishReason.MAX_TOKENS,61.572905,2768,325,7863
flash,c2,flash_c2,jane_austen,4,3,continuation_with_prompt,True,304,353,353,per_call_sum,258,gemini-2.5-flash,FinishReason.MAX_TOKENS,66.885678,2731,328,7860
flash,c2,flash_c2,jane_austen,4,4,continuation_with_prompt,True,353,398,398,per_call_sum,262,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.747534,2716,328,7860
flash,c2,flash_c2,jane_austen,4,5,continuation_with_prompt,True,398,437,437,per_call_sum,257,gemini-2.5-flash,FinishReason.MAX_TOKENS,58.091443,2717,326,7862
flash,c2,flash_c2,jane_austen,4,6,continuation_with_prompt,True,437,474,474,per_call_sum,264,gemini-2.5-flash,FinishReason.MAX_TOKENS,59.680995,2716,328,7860
flash,c2,flash_c2,jane_austen,4,7,continuation_with_prompt,True,474,520,520,per_call_sum,266,gemini-2.5-flash,FinishReason.MAX_TOKENS,63.0575,2711,328,7860
flash,c2,flash_c2,jane_austen,4,8,continuation_with_prompt,True,520,710,710,per_call_sum,1105,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.506084,2707,1384,6804
flash,c2,flash_c2,jane_austen,4,9,continuation_with_prompt,True,710,751,751,per_call_sum,254,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.823514,2711,327,7861
flash,c2,flash_c2,jane_austen,4,10,continuation_with_prompt,True,751,885,885,per_call_sum,821,gemini-2.5-flash,FinishReason.MAX_TOKENS,63.753594,2719,1020,7168
flash,c2,flash_c2,jane_austen,4,11,continuation_with_prompt,True,885,926,926,per_call_sum,261,gemini-2.5-flash,FinishReason.MAX_TOKENS,59.257025,2710,325,7863
flash,c2,flash_c2,jane_austen,4,12,continuation_with_prompt,True,926,993,993,per_call_sum,493,gemini-2.5-flash,FinishReason.MAX_TOKENS,60.489929,2721,589,7599
flash,c2,flash_c2,jane_austen,4,13,continuation_with_prompt,True,993,1036,1036,per_call_sum,300,gemini-2.5-flash,FinishReason.MAX_TOKENS,65.195177,2685,368,7820
flash,c2,flash_c2,jane_austen,4,14,continuation_with_prompt,True,1036,1900,1900,per_call_sum,5175,gemini-2.5-flash,FinishReason.MAX_TOKENS,53.007519,2688,6304,1883
flash,c2,flash_c2,jane_austen,4,15,continuation_with_prompt,True,1900,1944,1944,per_call_sum,257,gemini-2.5-flash,FinishReason.MAX_TOKENS,62.294148,2687,327,7861
