interpretation,endpoint,experiment,author_set,condition,policy,unit,chunk_size,feature,author,n,correct,accuracy_pct,chance_pct,binomial_p_greater_than_chance,most_predicted,skipped,n_human,n_llm,human_median_G,llm_median_G,auc,threshold_at_5pct_fpr,tpr_at_5pct_fpr,mannwhitney_p_llm_greater
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,1000,f1,ALL,400,47,11.75,5.0,7.227891179459105e-08,oscar_wilde:160; mary_shelley:48; joseph_conrad:47,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,2000,f1,ALL,400,34,8.5,5.0,0.002068882655890506,oscar_wilde:231; joseph_conrad:52; mary_shelley:42,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,4000,f1,ALL,400,33,8.25,5.0,0.0037687282460565396,oscar_wilde:248; joseph_conrad:71; mary_shelley:38,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,1000,f3,ALL,400,55,13.75,5.0,1.7574974249203035e-11,herbert_george_wells:91; oscar_wilde:70; mary_shelley:67,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,2000,f3,ALL,400,41,10.25,5.0,1.4169685105959835e-05,herbert_george_wells:145; oscar_wilde:112; mary_shelley:54,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,flash,pooled_all_books,run,4000,f3,ALL,400,33,8.25,5.0,0.0037687282460565396,herbert_george_wells:187; oscar_wilde:116; mary_shelley:57,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,1000,f1,ALL,200,25,12.5,5.0,2.606753129891225e-05,herbert_george_wells:58; oscar_wilde:34; harold_l_goodwin:32,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,2000,f1,ALL,200,19,9.5,5.0,0.0058235579677906645,herbert_george_wells:73; harold_l_goodwin:48; oscar_wilde:30,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,4000,f1,ALL,200,19,9.5,5.0,0.0058235579677906645,herbert_george_wells:92; harold_l_goodwin:56; oscar_wilde:23,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,1000,f3,ALL,200,24,12.0,5.0,7.202594019101348e-05,herbert_george_wells:81; harold_l_goodwin:32; arthur_conan_doyle:28,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,2000,f3,ALL,200,22,11.0,5.0,0.00048110916845550103,herbert_george_wells:117; harold_l_goodwin:45; arthur_conan_doyle:12,0,,,,,,,,
descriptive_leakage_contrast_only,attribution,llm_attribution,all_authors,pro,pooled_all_books,run,4000,f3,ALL,200,21,10.5,5.0,0.001159908250747922,herbert_george_wells:119; harold_l_goodwin:53; oscar_wilde:11,0,,,,,,,,
