row_type,author_set,source_type,condition,feature,chunk_size,author,cohort,n_authors,n_observations,n_correct,macro_accuracy,macro_ci_low,macro_ci_high,micro_accuracy,micro_ci_low,micro_ci_high,cluster_unit,n_clusters,most_predicted
summary,all_authors,human,,f1,1000,ALL,all,20,1003,604,0.5721196930075603,0.44204016194322715,0.6977870195161059,0.6021934197407777,0.4888767621646203,0.7139533489257948,author,20,susan_warner:129; charlotte_bronte:82; ethel_m_dell:80
author,all_authors,human,,f1,1000,agnes_may_fleming,existing,1,67,19,0.2835820895522388,0.0,0.5555555555555556,0.2835820895522388,0.0,0.5555555555555556,book_id,3,
author,all_authors,human,,f1,1000,arthur_conan_doyle,existing,1,36,25,0.6944444444444444,0.5,0.7894736842105263,0.6944444444444444,0.5,0.7894736842105263,book_id,3,
author,all_authors,human,,f1,1000,arthur_scott_bailey,new,1,6,6,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,1000,charles_dickens,existing,1,69,46,0.6666666666666666,0.0,0.8285714285714286,0.6666666666666666,0.0,0.8285714285714286,book_id,3,
author,all_authors,human,,f1,1000,charlotte_bronte,existing,1,121,64,0.5289256198347108,0.0,0.972972972972973,0.5289256198347108,0.0,0.972972972972973,book_id,3,
author,all_authors,human,,f1,1000,ethel_m_dell,new,1,80,59,0.7375,0.6521739130434783,0.782608695652174,0.7375,0.6521739130434783,0.782608695652174,book_id,3,
author,all_authors,human,,f1,1000,harold_l_goodwin,new,1,24,21,0.875,0.75,1.0,0.875,0.75,1.0,book_id,3,
author,all_authors,human,,f1,1000,herbert_george_wells,existing,1,22,2,0.09090909090909091,0.0,0.125,0.09090909090909091,0.0,0.125,book_id,3,
author,all_authors,human,,f1,1000,jane_austen,existing,1,65,34,0.5230769230769231,0.23809523809523808,0.7368421052631579,0.5230769230769231,0.23809523809523808,0.7368421052631579,book_id,3,
author,all_authors,human,,f1,1000,john_c_hutcheson,new,1,49,44,0.8979591836734694,0.7333333333333333,1.0,0.8979591836734694,0.7333333333333333,1.0,book_id,3,
author,all_authors,human,,f1,1000,joseph_conrad,existing,1,53,24,0.4528301886792453,0.4,0.47619047619047616,0.4528301886792453,0.4,0.47619047619047616,book_id,3,
author,all_authors,human,,f1,1000,kathleen_thompson_norris,new,1,53,34,0.6415094339622641,0.5862068965517241,0.8333333333333334,0.6415094339622641,0.5862068965517241,0.8333333333333334,book_id,3,
author,all_authors,human,,f1,1000,louis_joseph_vance,new,1,44,20,0.45454545454545453,0.2222222222222222,0.7692307692307693,0.45454545454545453,0.2222222222222222,0.7692307692307693,book_id,3,
author,all_authors,human,,f1,1000,luis_senarens,new,1,18,2,0.1111111111111111,0.0,0.16666666666666666,0.1111111111111111,0.0,0.16666666666666666,book_id,3,
author,all_authors,human,,f1,1000,mark_twain,existing,1,50,14,0.28,0.07692307692307693,0.3684210526315789,0.28,0.07692307692307693,0.3684210526315789,book_id,3,
author,all_authors,human,,f1,1000,mary_shelley,existing,1,42,34,0.8095238095238095,0.6,0.9259259259259259,0.8095238095238095,0.6,0.9259259259259259,book_id,3,
author,all_authors,human,,f1,1000,mildred_wirt,new,1,29,27,0.9310344827586207,0.8888888888888888,1.0,0.9310344827586207,0.8888888888888888,1.0,book_id,3,
author,all_authors,human,,f1,1000,oscar_wilde,existing,1,21,1,0.047619047619047616,0.0,0.06666666666666667,0.047619047619047616,0.0,0.06666666666666667,book_id,3,
author,all_authors,human,,f1,1000,robert_sidney_bowen,new,1,27,14,0.5185185185185185,0.0,0.8888888888888888,0.5185185185185185,0.0,0.8888888888888888,book_id,3,
author,all_authors,human,,f1,1000,susan_warner,new,1,127,114,0.8976377952755905,0.7586206896551724,0.9787234042553191,0.8976377952755905,0.7586206896551724,0.9787234042553191,book_id,3,
summary,all_authors,human,,f1,2000,ALL,all,20,485,327,0.6317908106546627,0.4796657331309846,0.7657761781624447,0.6742268041237114,0.5441576040344437,0.789317903066271,author,20,susan_warner:63; charles_dickens:47; charlotte_bronte:43
author,all_authors,human,,f1,2000,agnes_may_fleming,existing,1,33,10,0.30303030303030304,0.0,0.6666666666666666,0.30303030303030304,0.0,0.6666666666666666,book_id,3,
author,all_authors,human,,f1,2000,arthur_conan_doyle,existing,1,17,14,0.8235294117647058,0.6150000000000007,1.0,0.8235294117647058,0.6150000000000007,1.0,book_id,3,
author,all_authors,human,,f1,2000,arthur_scott_bailey,new,1,3,3,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,2000,charles_dickens,existing,1,34,28,0.8235294117647058,0.0,0.9285714285714286,0.8235294117647058,0.0,0.9285714285714286,book_id,3,
author,all_authors,human,,f1,2000,charlotte_bronte,existing,1,60,34,0.5666666666666667,0.0,1.0,0.5666666666666667,0.0,1.0,book_id,3,
author,all_authors,human,,f1,2000,ethel_m_dell,new,1,39,33,0.8461538461538461,0.8181818181818182,0.8823529411764706,0.8461538461538461,0.8181818181818182,0.8823529411764706,book_id,3,
author,all_authors,human,,f1,2000,harold_l_goodwin,new,1,12,12,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,2000,herbert_george_wells,existing,1,11,0,0.0,0.0,0.0,0.0,0.0,0.0,book_id,3,
author,all_authors,human,,f1,2000,jane_austen,existing,1,31,24,0.7741935483870968,0.5,0.9166666666666666,0.7741935483870968,0.5,0.9166666666666666,book_id,3,
author,all_authors,human,,f1,2000,john_c_hutcheson,new,1,23,23,1.0,1.0,1.0,1.0,1.0,1.0,book_id,3,
author,all_authors,human,,f1,2000,joseph_conrad,existing,1,25,10,0.4,0.38461538461538464,0.5,0.4,0.38461538461538464,0.5,book_id,3,
author,all_authors,human,,f1,2000,kathleen_thompson_norris,new,1,26,17,0.6538461538461539,0.5714285714285714,1.0,0.6538461538461539,0.5714285714285714,1.0,book_id,3,
author,all_authors,human,,f1,2000,louis_joseph_vance,new,1,21,11,0.5238095238095238,0.3333333333333333,0.8333333333333334,0.5238095238095238,0.3333333333333333,0.8333333333333334,book_id,3,
author,all_authors,human,,f1,2000,luis_senarens,new,1,9,1,0.1111111111111111,0.0,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,book_id,3,
author,all_authors,human,,f1,2000,mark_twain,existing,1,24,9,0.375,0.0,0.5555555555555556,0.375,0.0,0.5555555555555556,book_id,3,
