author,n_marks,n_included_books,included_books,excluded_books,times_requested,callers
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,,3667,__main__.exp_detection; __main__.exp_llm_attribution; __main__.exp_separability
agnes_may_fleming,31248,1,gutenberg_texts/7063.txt,full_books/agnes_may_fleming_full.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,full_books/herbert_george_wells_full.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,full_books/jane_austen_full.txt,284,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/1260.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/1400.txt,128,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/161.txt,128,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/1661.txt,154,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/174.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/18247.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/219.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/244.txt,141,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/2852.txt,128,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/30486.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/35.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/46.txt,154,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/5658.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,18922,1,full_books/agnes_may_fleming_full.txt,gutenberg_texts/7063.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/74.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/76.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/773.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/84.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
agnes_may_fleming,50170,2,full_books/agnes_may_fleming_full.txt; gutenberg_texts/7063.txt,gutenberg_texts/98.txt,141,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,,4387,__main__.exp_detection; __main__.exp_llm_attribution; __main__.exp_separability
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,full_books/agnes_may_fleming_full.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,full_books/herbert_george_wells_full.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,full_books/jane_austen_full.txt,439,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/1260.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/1400.txt,128,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/161.txt,199,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,17650,2,gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/1661.txt,239,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/174.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/18247.txt,319,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/219.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,29903,2,gutenberg_texts/1661.txt; gutenberg_texts/2852.txt,gutenberg_texts/244.txt,219,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,27283,2,gutenberg_texts/1661.txt; gutenberg_texts/244.txt,gutenberg_texts/2852.txt,199,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/30486.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/35.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/46.txt,154,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/5658.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/7063.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/74.txt,319,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/76.txt,319,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/773.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/84.txt,319,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
arthur_conan_doyle,37418,3,gutenberg_texts/1661.txt; gutenberg_texts/244.txt; gutenberg_texts/2852.txt,gutenberg_texts/98.txt,141,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
charles_dickens,70598,3,gutenberg_texts/46.txt; gutenberg_texts/98.txt; gutenberg_texts/1400.txt,,3667,__main__.exp_detection; __main__.exp_llm_attribution; __main__.exp_separability
charles_dickens,70598,3,gutenberg_texts/46.txt; gutenberg_texts/98.txt; gutenberg_texts/1400.txt,full_books/agnes_may_fleming_full.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
charles_dickens,70598,3,gutenberg_texts/46.txt; gutenberg_texts/98.txt; gutenberg_texts/1400.txt,full_books/herbert_george_wells_full.txt,206,__main__.exp_context_drift; __main__.exp_detection; __main__.exp_human_attribution; __main__.exp_llm_attribution
